DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,637.25,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Barchester Healthcare Homes Limited t/a Bryn Ivor Lodge Care Home,640.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,644.99,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),660.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,David Austin t/a Silverdale,660.28,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,E & E Homes Limited T/A Cliffhaven Residential Home,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,E & E Homes Limited T/A Cliffhaven Residential Home,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Harrison Care Enterprises Barry Limited t/a Island View,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Harrison Care Enterprises Barry Limited t/a Island View,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,June Zehetmayr t/a Tower Hill Residential Home,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Middlepatch Limited T/A College Fields Nursing Home,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,670.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Shirwan Al-Mufti & Ptn t/a Pontcanna House,671.24,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Forge Care Homes Limited t/a The Forge Care Centre,680.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,705.89,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,712.30,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,734.73,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,735.94,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,744.51,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,746.75,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hafod Housing Association Limited t/a Woodcroft Care Home,750.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,751.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,751.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,751.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,760.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,The Manor House St Hilary Limited T/A Milsom House,760.87,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Middlepatch Limited T/A College Fields Nursing Home,780.52,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,780.61,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),803.38,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,814.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,817.13,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),819.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,825.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hallmark Care Homes (Bute Town) Limited t/a Shire Hall Care Home,826.84,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Waverley Care Centre Limited,876.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Forge Care Homes Limited t/a The Forge Care Centre,925.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Forge Care Homes Limited t/a The Forge Care Centre,969.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Forge Care Homes Limited t/a The Forge Care Centre,974.09,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hallmark Care Homes (Bute Town) Limited t/a Shire Hall Care Home,"1,077.04",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hallmark Care Homes (Bute Town) Limited t/a Shire Hall Care Home,"1,179.26",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,Hallmark Care Homes (Bute Town) Limited t/a Shire Hall Care Home,"1,215.25",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,218419,The Manor House St Hilary Limited T/A Milsom House,"4,565.22",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,05/05/2020,102632,Helen Glynn t/a Cardiff & Vale Tutors,"1,819.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,05/05/2020,405004,Steve Harcourt T/A Lovely Jubbly,545.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215025,Advocacy Matters (Wales),"11,972.79",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06/05/2020,215489,All Saints DC Limited,506.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06/05/2020,215489,All Saints DC Limited,891.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06/05/2020,215489,All Saints DC Limited,"1,101.31",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,06/05/2020,100303,A-Day Consultants Limited T/A Academics,761.55,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,06/05/2020,100303,A-Day Consultants Limited T/A Academics,"1,234.55",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101013,CF Corporate Finance Limited,999.99,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101013,Glen Cleaning Company Limited,"1,337.51",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,Bristol Fruit Sales (Market) Ltd t/a Total Produce (Cardiff),625.80,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,Bristol Fruit Sales (Market) Ltd t/a Total Produce (Cardiff),908.87,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,EDF Energy Plc,"1,044.93",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,The Assessment Foundation CIC,"1,230.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,Glen Cleaning Company Limited,"3,034.59",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101180,EDF Energy Plc,765.17,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101180,The Assessment Foundation CIC,876.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101216,The Assessment Foundation CIC,876.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101241,The Assessment Foundation CIC,732.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,102593,Reed Specialist Recruitment Limited,532.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,102593,Reed Specialist Recruitment Limited,532.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,102593,Reed Specialist Recruitment Limited,532.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,102593,Reed Specialist Recruitment Limited,532.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,102593,Reed Specialist Recruitment Limited,532.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,102593,CCS Media Limited,"5,580.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,104381,The Assessment Foundation CIC,876.00,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,06/05/2020,130041,Supacleen Limited,-823.18,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,06/05/2020,130045,Agored Cymru,575.46,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,06/05/2020,201851,NonStop Consulting Limited,"1,137.78",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,06/05/2020,212731,TJ Services (Wales) Limited,508.64,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06/05/2020,215191,NonStop Consulting Limited,"1,086.30",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,06/05/2020,218302,MHFA Wales Limited t/a Mental Health First Aid Wales,"3,000.00",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,06/05/2020,218302,MHFA Wales Limited t/a Mental Health First Aid Wales,"4,250.00",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,06/05/2020,239010,Centerprise International Limited,"1,268.31",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Reynolds Confidential Limited,500.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,E4Law Limited t/a Lextox,668.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Passmores Solicitors Limited,967.74,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Opus 2 International Limited t/a Opus 2 Digital Transcription,"1,520.40",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Passmores Solicitors Limited,"1,550.23",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Passmores Solicitors Limited,"1,614.11",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,TJ Assessment and Consultancy Limited,"1,752.60",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,Julia Stewart Limited t/a Nether Johnstone House,"17,571.30",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,Landsker Child Care Limited,"18,428.02",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,Landsker Child Care Limited,"18,473.21",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260210,NonStop Consulting Limited,"1,336.44",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260210,NonStop Consulting Limited,"1,521.44",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,06/05/2020,319010,Fleetwheel Limited,501.97,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,06/05/2020,325351,Terra Ferma (Wales) Limited,"4,525.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,06/05/2020,333102,Countrywide Grounds Maintenance Limited,"-4,077.75",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,06/05/2020,333102,Countrywide Grounds Maintenance Limited,"-4,077.75",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,06/05/2020,333102,Countrywide Grounds Maintenance Limited,"32,622.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,06/05/2020,333102,Countrywide Grounds Maintenance Limited,"32,622.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,06/05/2020,359344,Parkwood Leisure Limited,"25,000.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,06/05/2020,359344,Parkwood Leisure Limited,"25,000.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,06/05/2020,365787,Cardiff City Transport Services Limited,"6,300.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,06/05/2020,365791,Cardiff City Transport Services Limited,"-6,195.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,06/05/2020,365791,Cardiff City Transport Services Limited,"1,475.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,06/05/2020,365791,Cardiff City Transport Services Limited,"1,800.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,06/05/2020,365791,Cardiff City Transport Services Limited,"6,195.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,06/05/2020,400050,Computacenter (UK) Limited,"1,612.91",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,06/05/2020,403227,G2V Recruitment Group Limited t/a Vivid Resourcing,"2,375.10",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,06/05/2020,405004,Khehra International 2 Limited t/a Celtic International Hotel,"27,125.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,06/05/2020,407108,Tenant Participation Advisory Service (Cymru) Limited,"1,250.24",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,06/05/2020,421230,Astun Technology Limited,"1,275.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,06/05/2020,440010,Computacenter (UK) Limited,"1,624.79",REVENUE
DIRECT POLICY,GF MISCELLANEOUS POLICY,06/05/2020,479050,Crawford & Company Adjusters (UK) Limited,"4,519.37",REVENUE
DIRECT POLICY,GF MISCELLANEOUS POLICY,06/05/2020,479050,Zurich Insurance Plc t/a Zurich Municipal - Imprest,"50,000.00",REVENUE
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,06/05/2020,835375,G Oakley & Sons Limited,"14,115.90",CAPITAL
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,06/05/2020,835390,Drainforce Limited,564.05,CAPITAL
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,06/05/2020,403211,Bridgend County Borough Council,"1,438.24",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Julian Horne,600.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Dominic Boothroyd,660.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Rhys Jones,660.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Rhys Jones,990.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Susan Jenkins,990.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,James Lewis - Solicitor,"1,500.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Helena Jones,"2,392.50",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Susan Jenkins,"2,490.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Matthew Barry,"3,240.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,Matthew Barry,"7,500.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260050,James Lewis - Solicitor,"8,820.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260210,Helena Jones,609.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,209157,Cardiff & Vale University Local Health Board,"1,500.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,06/05/2020,100303,New Directions (Education) Limited,965.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,06/05/2020,100303,New Directions (Education) Limited,965.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,06/05/2020,100303,New Directions (Education) Limited,965.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,06/05/2020,100303,New Directions (Education) Limited,965.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101055,Bay Resourcing Limited,562.81,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101055,Bay Resourcing Limited,761.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,Teaching Personnel Limited,551.85,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,Teaching Personnel Limited,551.85,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,Teaching Personnel Limited,551.85,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06/05/2020,101065,Teaching Personnel Limited,551.85,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,06/05/2020,303910,Hays Specialist Recruitment Limited,521.87,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,06/05/2020,319010,Ceri Williams t/a Mobile Tyre Services,669.65,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,06/05/2020,319010,Paul R Curtis t/a PRC Plant Cleaning,960.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,06/05/2020,319010,Ceri Williams t/a Mobile Tyre Services,"1,127.33",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,06/05/2020,319010,Ceri Williams t/a Mobile Tyre Services,"1,159.66",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,06/05/2020,319010,Ceri Williams t/a Mobile Tyre Services,"1,180.33",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,06/05/2020,319010,Ceri Williams t/a Mobile Tyre Services,"1,220.28",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,06/05/2020,239030,Glamorgan Voluntary Services,"5,350.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,The Adolescent & Childrens Trust,"3,185.10",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,The Adolescent & Childrens Trust,"3,185.10",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,The Adolescent & Childrens Trust,"3,185.10",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,Action for Children,"13,936.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,06/05/2020,260060,Dudley Lodge,"15,107.14",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101006,Dwr Cymru Cyf,"1,680.87",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101025,Manhire Jobshop Limited,700.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101025,Manhire Jobshop Limited,"1,200.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101025,Teachers2Parents Limited,"1,800.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101141,The Assessment Foundation CIC,564.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101229,The Assessment Foundation CIC,"1,230.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101229,Dwr Cymru Cyf,"2,159.83",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101229,A & R Contract Cleaning Specialist Limited,"2,183.90",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101305,Ricoh UK Limited,755.24,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,07/05/2020,101305,The Assessment Foundation CIC,876.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,07/05/2020,102632,The Amelia Methodist Trust Company Limited t/a Amelia Trust Farm,"7,020.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,07/05/2020,130275,Barry Advertiser Limited,"1,195.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,07/05/2020,140122,Datagraphic Group Limited,"1,000.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,07/05/2020,140122,Datagraphic Group Limited,"2,682.50",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,07/05/2020,140131,Matrix SCM Limited,"137,046.85",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,209151,Gibbonsdown Childrens Centre Limited,"1,440.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,209151,Little Inspirations Limited,"2,145.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,07/05/2020,217909,Merricks Private Transport Contractors Limited,685.80,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"1,277.16",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"1,359.60",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,022.17",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,152.70",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,817.86",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,897.74",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,899.96",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,966.17",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,052.58",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,297.17",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,297.17",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,297.17",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,299.33",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"4,654.34",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"5,811.88",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"6,470.01",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"8,268.01",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,07/05/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"8,382.71",REVENUE
DIRECT ENVIRONMENT AND HOUSING,OVERHEAD,07/05/2020,301062,Tom Prichard Contracting Limited,"4,098.80",REVENUE
DIRECT ENVIRONMENT AND HOUSING,TRADING - BUILDING,07/05/2020,303000,City Electrical Factors Limited,744.42,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,07/05/2020,303900,LNC Floor Coverings Limited,"1,200.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,07/05/2020,303901,Handicare Accessibility Limited,"3,520.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,07/05/2020,303901,Handicare Accessibility Limited,"3,840.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HOUSING - HRA,07/05/2020,303910,Woodland Electrical Barry Limited,575.11,REVENUE
